#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ILK	LIMS1	0	0	0	0	0	0	0	0	0	0	0.999
ILK	FERMT2	0	0	0	0	0	0	0	0	0	0	0.999
ILK	PARVG	0	0	0	0	0	0	0	0	0	0	0.999
ILK	PARVB	0	0	0	0	0	0	0	0	0	0	0.999
ILK	LIMS2	0	0	0	0	0	0	0	0	0	0	0.999
ILK	RICTOR	0	0	0	0	0	0	0	0	0	0	0.999
ILK	ITGB1	0	0	0	0	0	0	0	0	0	0	0.999
ILK	PXN	0	0	0	0	0	0	0	0	0	0	0.999
ILK	PARVA	0	0	0	0	0	0	0	0	0	0	0.999
ILK	NCK2	0	0	0	0	0	0	0	0	0	0	0.996
