#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
APC	AXIN2	0	0	0	0	0	0	0	0	0	0	0.999
APC	AXIN1	0	0	0	0	0	0	0	0	0	0	0.999
APC	GSK3B	0	0	0	0	0	0	0	0	0	0	0.999
APC	ARHGEF4	0	0	0	0	0	0	0	0	0	0	0.999
APC	CTNNB1	0	0	0	0	0	0	0	0	0	0	0.999
APC	AMER1	0	0	0	0	0	0	0	0	0	0	0.995
APC	CSNK1A1	0	0	0	0	0	0	0	0	0	0	0.994
APC	BTRC	0	0	0	0	0	0	0	0	0	0	0.992
APC	DLG1	0	0	0	0	0	0	0	0	0	0	0.991
APC	DVL1	0	0	0	0	0	0	0	0	0	0	0.989
