#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
PTK2	ITGB1	0	0	0	0	0	0	0	0	0	0	0.999
PTK2	PXN	0	0	0	0	0	0	0	0	0	0	0.999
PTK2	BCAR1	0	0	0	0	0	0	0	0	0	0	0.999
PTK2	GRB2	0	0	0	0	0	0	0	0	0	0	0.999
PTK2	CRK	0	0	0	0	0	0	0	0	0	0	0.998
PTK2	ITGB3	0	0	0	0	0	0	0	0	0	0	0.996
PTK2	VCL	0	0	0	0	0	0	0	0	0	0	0.996
PTK2	PTEN	0	0	0	0	0	0	0	0	0	0	0.995
PTK2	PIK3R1	0	0	0	0	0	0	0	0	0	0	0.995
PTK2	SRC	0	0	0	0	0	0	0	0	0	0	0.994
