#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
GABARAPL2	ATG12	0	0	0	0	0	0	0	0	0	0	0.999
GABARAPL2	ATG7	0	0	0	0	0	0	0	0	0	0	0.999
GABARAPL2	ATG3	0	0	0	0	0	0	0	0	0	0	0.999
GABARAPL2	SQSTM1	0	0	0	0	0	0	0	0	0	0	0.999
GABARAPL2	ATG5	0	0	0	0	0	0	0	0	0	0	0.998
GABARAPL2	ATG4B	0	0	0	0	0	0	0	0	0	0	0.998
GABARAPL2	ULK1	0	0	0	0	0	0	0	0	0	0	0.996
GABARAPL2	NBR1	0	0	0	0	0	0	0	0	0	0	0.996
GABARAPL2	BECN1	0	0	0	0	0	0	0	0	0	0	0.993
GABARAPL2	ATG4A	0	0	0	0	0	0	0	0	0	0	0.993
