#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
CACNA1C	CASQ2	9606.ENSP00000266376	9606.ENSP00000261448	0	0	0	0	0.133	0	0	0.753	0.777
CACNA1C	RYR1	9606.ENSP00000266376	9606.ENSP00000352608	0	0	0	0	0.140	0.091	0.720	0.780	0.945
CACNA1C	CACNB4	9606.ENSP00000266376	9606.ENSP00000438949	0	0	0	0	0.068	0.412	0.900	0.523	0.970
CACNA1C	RYR2	9606.ENSP00000266376	9606.ENSP00000355533	0	0	0	0	0.162	0.324	0	0.970	0.981
CACNB4	RYR1	9606.ENSP00000438949	9606.ENSP00000352608	0	0	0	0	0.055	0	0.720	0.253	0.785
CACNB4	RYR2	9606.ENSP00000438949	9606.ENSP00000355533	0	0	0	0	0.085	0	0	0.473	0.498
CAMK4	NOS3	9606.ENSP00000282356	9606.ENSP00000297494	0	0	0	0	0.059	0.071	0.900	0.281	0.928
CAMK4	CAMKK2	9606.ENSP00000282356	9606.ENSP00000312741	0	0	0.134	0.641	0.061	0.184	0.900	0.304	0.945
CAMKK2	RYR1	9606.ENSP00000312741	9606.ENSP00000352608	0	0	0	0	0.042	0	0	0.443	0.443
CASQ2	RYR1	9606.ENSP00000261448	9606.ENSP00000352608	0	0	0	0	0.157	0.091	0.900	0.519	0.958
CASQ2	RYR2	9606.ENSP00000261448	9606.ENSP00000355533	0	0	0	0	0.144	0.091	0.900	0.987	0.998
NOS3	RYR1	9606.ENSP00000297494	9606.ENSP00000352608	0	0	0	0	0	0	0	0.425	0.425
NOS3	RYR2	9606.ENSP00000297494	9606.ENSP00000355533	0	0	0	0	0	0	0	0.561	0.561
RYR1	RYR2	9606.ENSP00000352608	9606.ENSP00000355533	0	0	0.055	0.971	0.080	0.690	0.900	0.137	0.972
