#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ATXN2	ITPR1	9606.ENSP00000446576	9606.ENSP00000306253	0	0	0	0	0.044	0	0.900	0.969	0.996
ATXN2	HTT	9606.ENSP00000446576	9606.ENSP00000347184	0	0	0	0	0.085	0	0	0.753	0.764
ATXN2	ATXN3L	9606.ENSP00000446576	9606.ENSP00000369996	0	0	0	0	0	0	0.900	0.635	0.961
ATXN2	ATXN3	9606.ENSP00000446576	9606.ENSP00000496695	0	0	0	0	0.063	0	0.900	0.939	0.993
ATXN3	HSPA9	9606.ENSP00000496695	9606.ENSP00000297185	0	0	0	0	0.049	0.157	0	0.436	0.509
ATXN3	ITPR1	9606.ENSP00000496695	9606.ENSP00000306253	0	0	0	0	0	0	0.900	0.968	0.996
ATXN3	HTT	9606.ENSP00000496695	9606.ENSP00000347184	0	0	0	0	0	0.292	0	0.836	0.878
ATXN3	BECN1	9606.ENSP00000496695	9606.ENSP00000355231	0	0	0	0	0.049	0.292	0.900	0.866	0.989
ATXN3	ATXN3L	9606.ENSP00000496695	9606.ENSP00000369996	0	0	0.056	0.969	0	0	0.900	0.057	0.903
ATXN3L	ITPR1	9606.ENSP00000369996	9606.ENSP00000306253	0	0	0	0	0	0	0.900	0.965	0.996
ATXN3L	HTT	9606.ENSP00000369996	9606.ENSP00000347184	0	0	0	0	0	0	0	0.894	0.894
ATXN3L	BECN1	9606.ENSP00000369996	9606.ENSP00000355231	0	0	0	0	0	0	0.900	0.796	0.978
BCL2	HSPA9	9606.ENSP00000381185	9606.ENSP00000297185	0	0	0	0	0.044	0.345	0	0.396	0.588
BCL2	ITPR1	9606.ENSP00000381185	9606.ENSP00000306253	0	0	0	0	0.082	0.510	0	0.992	0.996
BCL2	CYCS	9606.ENSP00000381185	9606.ENSP00000307786	0	0	0	0	0	0	0.900	0.972	0.997
BCL2	HTT	9606.ENSP00000381185	9606.ENSP00000347184	0	0	0	0	0.056	0	0	0.432	0.441
BCL2	BECN1	9606.ENSP00000381185	9606.ENSP00000355231	0	0	0	0	0	0.996	0.900	0.998	0.999
BCL2	VDAC1	9606.ENSP00000381185	9606.ENSP00000378487	0	0	0	0	0.045	0.297	0.720	0.995	0.998
BECN1	HSPA9	9606.ENSP00000355231	9606.ENSP00000297185	0	0	0	0	0.056	0.046	0	0.610	0.618
BECN1	ITPR1	9606.ENSP00000355231	9606.ENSP00000306253	0	0	0	0	0.049	0.292	0.900	0.978	0.998
BECN1	CYCS	9606.ENSP00000355231	9606.ENSP00000307786	0	0	0	0	0.057	0	0	0.774	0.778
BECN1	HTT	9606.ENSP00000355231	9606.ENSP00000347184	0	0	0	0	0.049	0.303	0.900	0.733	0.979
BECN1	VDAC1	9606.ENSP00000355231	9606.ENSP00000378487	0	0	0	0	0.121	0	0	0.550	0.588
CYCS	HSPA9	9606.ENSP00000307786	9606.ENSP00000297185	0	0	0	0	0.223	0	0	0.626	0.697
CYCS	ITPR1	9606.ENSP00000307786	9606.ENSP00000306253	0	0	0	0	0.049	0.072	0	0.992	0.993
CYCS	HTT	9606.ENSP00000307786	9606.ENSP00000347184	0	0	0	0	0.049	0	0	0.689	0.691
CYCS	VDAC1	9606.ENSP00000307786	9606.ENSP00000378487	0	0	0	0	0.198	0.309	0.900	0.939	0.996
HSPA9	ITPR1	9606.ENSP00000297185	9606.ENSP00000306253	0	0	0	0	0.062	0.206	0	0.995	0.995
HSPA9	VDAC1	9606.ENSP00000297185	9606.ENSP00000378487	0	0	0	0	0.352	0.208	0.500	0.996	0.998
HTT	ITPR1	9606.ENSP00000347184	9606.ENSP00000306253	0	0	0	0	0.081	0.297	0.900	0.944	0.995
HTT	VDAC1	9606.ENSP00000347184	9606.ENSP00000378487	0	0	0	0	0.060	0.345	0	0.357	0.570
ITPR1	MRVI1	9606.ENSP00000306253	9606.ENSP00000412130	0	0	0	0	0.061	0.423	0.900	0.931	0.995
ITPR1	VDAC1	9606.ENSP00000306253	9606.ENSP00000378487	0	0	0	0	0.050	0.241	0	0.995	0.996
