#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
CASP3	XIAP	0	0	0	0	0	0	0	0	0	0	0.999
CASP3	BIRC2	0	0	0	0	0	0	0	0	0	0	0.998
CASP3	PARP1	0	0	0	0	0	0	0	0	0	0	0.998
CASP3	APAF1	0	0	0	0	0	0	0	0	0	0	0.996
CASP3	BIRC3	0	0	0	0	0	0	0	0	0	0	0.996
CASP3	CYCS	0	0	0	0	0	0	0	0	0	0	0.995
CASP3	CDKN1A	0	0	0	0	0	0	0	0	0	0	0.994
CASP3	DFFA	0	0	0	0	0	0	0	0	0	0	0.99
CASP3	CTNNB1	0	0	0	0	0	0	0	0	0	0	0.99
CASP3	CDH1	0	0	0	0	0	0	0	0	0	0	0.989
