#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
CBLN1	GRID2	0	0	0	0	0	0	0	0	0	0	0.995
CBLN1	NRXN2	0	0	0	0	0	0	0	0	0	0	0.969
CBLN1	NXN	0	0	0	0	0	0	0	0	0	0	0.944
CBLN1	NRXN1	0	0	0	0	0	0	0	0	0	0	0.931
CBLN1	NRXN3	0	0	0	0	0	0	0	0	0	0	0.81
CBLN1	GLUD1	0	0	0	0	0	0	0	0	0	0	0.768
CBLN1	LRRTM1	0	0	0	0	0	0	0	0	0	0	0.722
CBLN1	ENSP00000262283	0	0	0	0	0	0	0	0	0	0	0.711
CBLN1	NTNG2	0	0	0	0	0	0	0	0	0	0	0.694
CBLN1	GRID1	0	0	0	0	0	0	0	0	0	0	0.683
