#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
BSG	EGFR	9606.ENSP00000333769	9606.ENSP00000275493	0	0	0	0	0.054	0.067	0	0.733	0.744
BSG	SRC	9606.ENSP00000333769	9606.ENSP00000362680	0	0	0	0	0.049	0.081	0	0.460	0.486
BSG	CAV1	9606.ENSP00000333769	9606.ENSP00000339191	0	0	0	0	0.047	0.118	0.900	0.966	0.996
CALML3	CAV2	9606.ENSP00000315299	9606.ENSP00000222693	0	0	0	0	0.055	0	0.800	0.691	0.936
CALML3	EGFR	9606.ENSP00000315299	9606.ENSP00000275493	0	0	0	0	0.044	0	0	0.810	0.811
CALML3	NOS3	9606.ENSP00000315299	9606.ENSP00000297494	0	0	0	0	0	0.066	0.900	0.996	0.999
CALML3	FYN	9606.ENSP00000315299	9606.ENSP00000346671	0	0	0	0	0	0.099	0	0.661	0.682
CALML3	SRC	9606.ENSP00000315299	9606.ENSP00000362680	0	0	0	0	0	0.099	0	0.922	0.927
CALML3	CALML5	9606.ENSP00000315299	9606.ENSP00000369689	0	0	0.077	0.926	0.162	0	0.900	0.632	0.967
CALML3	ESR1	9606.ENSP00000315299	9606.ENSP00000405330	0	0	0	0	0.044	0.045	0	0.981	0.981
CALML3	CAV1	9606.ENSP00000315299	9606.ENSP00000339191	0	0	0	0	0.045	0	0.800	0.980	0.996
CALML5	CAV2	9606.ENSP00000369689	9606.ENSP00000222693	0	0	0	0	0.055	0	0.800	0.691	0.936
CALML5	EGFR	9606.ENSP00000369689	9606.ENSP00000275493	0	0	0	0	0	0	0	0.810	0.810
CALML5	NOS3	9606.ENSP00000369689	9606.ENSP00000297494	0	0	0	0	0	0.066	0.900	0.996	0.999
CALML5	CAV1	9606.ENSP00000369689	9606.ENSP00000339191	0	0	0	0	0.045	0	0.800	0.980	0.996
CALML5	FYN	9606.ENSP00000369689	9606.ENSP00000346671	0	0	0	0	0	0.099	0	0.660	0.681
CALML5	SRC	9606.ENSP00000369689	9606.ENSP00000362680	0	0	0	0	0	0.099	0	0.922	0.927
CALML5	ESR1	9606.ENSP00000369689	9606.ENSP00000405330	0	0	0	0	0.059	0.045	0	0.979	0.979
CAV1	CAV2	9606.ENSP00000339191	9606.ENSP00000222693	0	0	0.106	0.852	0.794	0.829	0.900	0.985	0.999
CAV1	EGFR	9606.ENSP00000339191	9606.ENSP00000275493	0	0	0	0	0.206	0.882	0.800	0.986	0.999
CAV1	NOS3	9606.ENSP00000339191	9606.ENSP00000297494	0	0	0	0	0.044	0.736	0.800	0.995	0.999
CAV1	FYN	9606.ENSP00000339191	9606.ENSP00000346671	0	0	0	0	0.051	0.511	0.900	0.944	0.997
CAV1	ESR1	9606.ENSP00000339191	9606.ENSP00000405330	0	0	0	0	0.053	0.624	0.500	0.992	0.998
CAV1	SRC	9606.ENSP00000339191	9606.ENSP00000362680	0	0	0	0	0.051	0.622	0.900	0.994	0.999
CAV1	CAVIN1	9606.ENSP00000339191	9606.ENSP00000349541	0	0	0	0	0.391	0.642	0.400	0.997	0.999
CAV2	ESR1	9606.ENSP00000222693	9606.ENSP00000405330	0	0	0	0	0.053	0.049	0.500	0.325	0.655
CAV2	NOS3	9606.ENSP00000222693	9606.ENSP00000297494	0	0	0	0	0.048	0.045	0.800	0.378	0.871
CAV2	CAVIN1	9606.ENSP00000222693	9606.ENSP00000349541	0	0	0	0	0.339	0.091	0	0.878	0.920
CAV2	FYN	9606.ENSP00000222693	9606.ENSP00000346671	0	0	0	0	0.051	0.046	0.900	0.632	0.962
CAV2	SRC	9606.ENSP00000222693	9606.ENSP00000362680	0	0	0	0	0.051	0.295	0.900	0.630	0.971
CAV2	EGFR	9606.ENSP00000222693	9606.ENSP00000275493	0	0	0	0	0.122	0.742	0.800	0.558	0.977
CAVIN1	EGFR	9606.ENSP00000349541	9606.ENSP00000275493	0	0	0	0	0.762	0.404	0	0.257	0.885
CAVIN1	NOS3	9606.ENSP00000349541	9606.ENSP00000297494	0	0	0	0	0.062	0	0	0.519	0.529
EGFR	FYN	9606.ENSP00000275493	9606.ENSP00000346671	0	0	0	0.670	0	0.115	0.400	0.780	0.873
EGFR	ESR1	9606.ENSP00000275493	9606.ENSP00000405330	0	0	0	0	0	0.583	0	0.974	0.988
EGFR	SRC	9606.ENSP00000275493	9606.ENSP00000362680	0	0	0	0.665	0.042	0.928	0.900	0.988	0.999
ESR1	NOS3	9606.ENSP00000405330	9606.ENSP00000297494	0	0	0	0	0	0.301	0	0.689	0.773
ESR1	SRC	9606.ENSP00000405330	9606.ENSP00000362680	0	0	0	0	0	0.925	0.900	0.996	0.999
FYN	SRC	9606.ENSP00000346671	9606.ENSP00000362680	0	0	0.055	0.971	0.046	0.943	0.900	0.849	0.999
NOS3	SRC	9606.ENSP00000297494	9606.ENSP00000362680	0	0	0	0	0.048	0.045	0	0.581	0.586
