#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
CALM3	CASQ2	9606.ENSP00000291295	9606.ENSP00000261448	0	0	0	0	0	0.109	0	0.723	0.743
CALM3	FKBP1B	9606.ENSP00000291295	9606.ENSP00000370373	0	0	0	0	0.240	0.854	0	0.889	0.986
CALM3	CALML4	9606.ENSP00000291295	9606.ENSP00000419081	0	0	0.072	0.920	0	0	0.900	0.969	0.996
CALM3	RYR3	9606.ENSP00000291295	9606.ENSP00000489262	0	0	0	0	0	0.938	0.900	0.505	0.996
CALM3	CALML5	9606.ENSP00000291295	9606.ENSP00000369689	0	0	0.072	0.937	0	0	0.900	0.969	0.996
CALM3	CALML3	9606.ENSP00000291295	9606.ENSP00000315299	0	0	0.050	0.981	0	0	0.900	0.968	0.996
CALM3	CALML6	9606.ENSP00000291295	9606.ENSP00000304643	0	0	0.058	0.914	0	0	0.900	0.969	0.996
CALM3	RYR1	9606.ENSP00000291295	9606.ENSP00000352608	0	0	0	0	0	0.938	0.900	0.979	0.999
CALM3	RYR2	9606.ENSP00000291295	9606.ENSP00000355533	0	0	0	0	0	0.938	0.900	0.994	0.999
CALML3	CASQ2	9606.ENSP00000315299	9606.ENSP00000261448	0	0	0	0	0	0.109	0	0.634	0.660
CALML3	CALML6	9606.ENSP00000315299	9606.ENSP00000304643	0	0	0.063	0.901	0	0	0.900	0.632	0.962
CALML3	FKBP1B	9606.ENSP00000315299	9606.ENSP00000370373	0	0	0	0	0.236	0.304	0	0.935	0.962
CALML3	CALML4	9606.ENSP00000315299	9606.ENSP00000419081	0	0	0.081	0.898	0	0	0.900	0.632	0.963
CALML3	RYR3	9606.ENSP00000315299	9606.ENSP00000489262	0	0	0	0	0	0.409	0.900	0.474	0.966
CALML3	CALML5	9606.ENSP00000315299	9606.ENSP00000369689	0	0	0.077	0.926	0.162	0	0.900	0.632	0.967
CALML3	RYR2	9606.ENSP00000315299	9606.ENSP00000355533	0	0	0	0	0	0.409	0.900	0.993	0.999
CALML3	RYR1	9606.ENSP00000315299	9606.ENSP00000352608	0	0	0	0	0.047	0.409	0.900	0.989	0.999
CALML4	CASQ2	9606.ENSP00000419081	9606.ENSP00000261448	0	0	0	0	0	0.109	0	0.612	0.640
CALML4	CALML6	9606.ENSP00000419081	9606.ENSP00000304643	0	0	0	0.738	0	0	0.900	0.633	0.961
CALML4	RYR1	9606.ENSP00000419081	9606.ENSP00000352608	0	0	0	0	0	0.218	0.900	0.989	0.999
CALML4	RYR2	9606.ENSP00000419081	9606.ENSP00000355533	0	0	0	0	0	0.218	0.900	0.993	0.999
CALML4	CALML5	9606.ENSP00000419081	9606.ENSP00000369689	0	0	0.112	0.804	0	0	0.900	0.633	0.964
CALML4	FKBP1B	9606.ENSP00000419081	9606.ENSP00000370373	0	0	0	0	0.191	0.140	0	0.929	0.947
CALML4	RYR3	9606.ENSP00000419081	9606.ENSP00000489262	0	0	0	0	0	0.218	0.900	0.449	0.953
CALML5	CASQ2	9606.ENSP00000369689	9606.ENSP00000261448	0	0	0	0	0	0.109	0	0.626	0.653
CALML5	CALML6	9606.ENSP00000369689	9606.ENSP00000304643	0	0	0.081	0.828	0	0	0.900	0.633	0.963
CALML5	RYR1	9606.ENSP00000369689	9606.ENSP00000352608	0	0	0	0	0.060	0.409	0.900	0.989	0.999
CALML5	RYR2	9606.ENSP00000369689	9606.ENSP00000355533	0	0	0	0	0	0.409	0.900	0.993	0.999
CALML5	FKBP1B	9606.ENSP00000369689	9606.ENSP00000370373	0	0	0	0	0.236	0.304	0	0.935	0.962
CALML5	RYR3	9606.ENSP00000369689	9606.ENSP00000489262	0	0	0	0	0	0.409	0.900	0.475	0.966
CALML6	CASQ2	9606.ENSP00000304643	9606.ENSP00000261448	0	0	0	0	0.048	0.109	0	0.611	0.641
CALML6	FKBP1B	9606.ENSP00000304643	9606.ENSP00000370373	0	0	0	0	0.191	0.140	0	0.929	0.947
CALML6	RYR3	9606.ENSP00000304643	9606.ENSP00000489262	0	0	0	0	0	0.218	0.900	0.449	0.953
CALML6	RYR1	9606.ENSP00000304643	9606.ENSP00000352608	0	0	0	0	0.044	0.218	0.900	0.989	0.999
CALML6	RYR2	9606.ENSP00000304643	9606.ENSP00000355533	0	0	0	0	0	0.218	0.900	0.993	0.999
CASQ2	FKBP1B	9606.ENSP00000261448	9606.ENSP00000370373	0	0	0	0	0	0.071	0	0.864	0.868
CASQ2	RYR3	9606.ENSP00000261448	9606.ENSP00000489262	0	0	0	0	0.181	0.091	0.900	0.433	0.952
CASQ2	RYR1	9606.ENSP00000261448	9606.ENSP00000352608	0	0	0	0	0.157	0.091	0.900	0.519	0.958
CASQ2	RYR2	9606.ENSP00000261448	9606.ENSP00000355533	0	0	0	0	0.144	0.091	0.900	0.987	0.998
FKBP1B	RYR1	9606.ENSP00000370373	9606.ENSP00000352608	0	0	0	0	0	0.485	0.500	0.980	0.994
FKBP1B	RYR2	9606.ENSP00000370373	9606.ENSP00000355533	0	0	0	0	0	0.977	0.500	0.999	0.999
FKBP1B	RYR3	9606.ENSP00000370373	9606.ENSP00000489262	0	0	0	0	0	0.610	0.500	0.818	0.961
PSEN2	RYR2	9606.ENSP00000355747	9606.ENSP00000355533	0	0	0	0	0	0.095	0	0.380	0.415
PSEN2	RYR3	9606.ENSP00000355747	9606.ENSP00000489262	0	0	0	0	0	0.091	0.900	0.592	0.959
RYR1	RYR3	9606.ENSP00000352608	9606.ENSP00000489262	0	0	0.054	0.972	0.072	0.507	0.900	0.109	0.954
RYR1	RYR2	9606.ENSP00000352608	9606.ENSP00000355533	0	0	0.055	0.971	0.080	0.690	0.900	0.137	0.972
RYR2	RYR3	9606.ENSP00000355533	9606.ENSP00000489262	0	0	0.053	0.974	0.063	0.863	0.900	0.697	0.995
