#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
GRM1	GNAQ	0	0	0	0	0	0	0	0	0	0	0.995
GRM1	HOMER1	0	0	0	0	0	0	0	0	0	0	0.995
GRM1	CASR	0	0	0	0	0	0	0	0	0	0	0.98
GRM1	HOMER3	0	0	0	0	0	0	0	0	0	0	0.973
GRM1	GRM5	0	0	0	0	0	0	0	0	0	0	0.97
GRM1	ESR1	0	0	0	0	0	0	0	0	0	0	0.97
GRM1	HOMER2	0	0	0	0	0	0	0	0	0	0	0.968
GRM1	PLCB1	0	0	0	0	0	0	0	0	0	0	0.952
GRM1	GABBR1	0	0	0	0	0	0	0	0	0	0	0.93
GRM1	CAMK2A	0	0	0	0	0	0	0	0	0	0	0.923
