#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
NEDD9	CRK	0	0	0	0	0	0	0	0	0	0	0.998
NEDD9	CRKL	0	0	0	0	0	0	0	0	0	0	0.997
NEDD9	BCAR3	0	0	0	0	0	0	0	0	0	0	0.989
NEDD9	MICAL1	0	0	0	0	0	0	0	0	0	0	0.988
NEDD9	AURKA	0	0	0	0	0	0	0	0	0	0	0.987
NEDD9	PTK2	0	0	0	0	0	0	0	0	0	0	0.984
NEDD9	DOCK3	0	0	0	0	0	0	0	0	0	0	0.977
NEDD9	SMAD3	0	0	0	0	0	0	0	0	0	0	0.976
NEDD9	PTK2B	0	0	0	0	0	0	0	0	0	0	0.935
NEDD9	TRIP6	0	0	0	0	0	0	0	0	0	0	0.928
