#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
NOS1	DLG4	0	0	0	0	0	0	0	0	0	0	0.999
NOS1	NOS1AP	0	0	0	0	0	0	0	0	0	0	0.999
NOS1	DMD	0	0	0	0	0	0	0	0	0	0	0.997
NOS1	RASD1	0	0	0	0	0	0	0	0	0	0	0.993
NOS1	GRIN2B	0	0	0	0	0	0	0	0	0	0	0.993
NOS1	RYR2	0	0	0	0	0	0	0	0	0	0	0.985
NOS1	CALM2	0	0	0	0	0	0	0	0	0	0	0.985
NOS1	ATP2B4	0	0	0	0	0	0	0	0	0	0	0.977
NOS1	GRIN1	0	0	0	0	0	0	0	0	0	0	0.976
NOS1	ARG2	0	0	0	0	0	0	0	0	0	0	0.968
