#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
UBA1	UBE2D2	0	0	0	0	0	0	0	0	0	0	0.999
UBA1	UBC	0	0	0	0	0	0	0	0	0	0	0.999
UBA1	UBE2N	0	0	0	0	0	0	0	0	0	0	0.999
UBA1	UBE2K	0	0	0	0	0	0	0	0	0	0	0.999
UBA1	UBE2D1	0	0	0	0	0	0	0	0	0	0	0.999
UBA1	UBE2D3	0	0	0	0	0	0	0	0	0	0	0.998
UBA1	CDC34	0	0	0	0	0	0	0	0	0	0	0.998
UBA1	UBE2B	0	0	0	0	0	0	0	0	0	0	0.998
UBA1	RPS27A	0	0	0	0	0	0	0	0	0	0	0.997
UBA1	UBE2S	0	0	0	0	0	0	0	0	0	0	0.997
