#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
JUN	ATF2	0	0	0	0	0	0	0	0	0	0	0.999
JUN	EP300	0	0	0	0	0	0	0	0	0	0	0.999
JUN	SMAD3	0	0	0	0	0	0	0	0	0	0	0.999
JUN	BATF3	0	0	0	0	0	0	0	0	0	0	0.999
JUN	MAPK8	0	0	0	0	0	0	0	0	0	0	0.999
JUN	CTNNB1	0	0	0	0	0	0	0	0	0	0	0.999
JUN	FOS	0	0	0	0	0	0	0	0	0	0	0.999
JUN	MAPK10	0	0	0	0	0	0	0	0	0	0	0.999
JUN	FOSL1	0	0	0	0	0	0	0	0	0	0	0.999
JUN	MAPK9	0	0	0	0	0	0	0	0	0	0	0.999
