#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
NRG1	EGFR	0	0	0	0	0	0	0	0	0	0	0.999
NRG1	ERBB4	0	0	0	0	0	0	0	0	0	0	0.999
NRG1	ERBB2	0	0	0	0	0	0	0	0	0	0	0.999
NRG1	ERBB3	0	0	0	0	0	0	0	0	0	0	0.999
NRG1	EGF	0	0	0	0	0	0	0	0	0	0	0.972
NRG1	DLG4	0	0	0	0	0	0	0	0	0	0	0.962
NRG1	ADAM17	0	0	0	0	0	0	0	0	0	0	0.958
NRG1	MAPK3	0	0	0	0	0	0	0	0	0	0	0.947
NRG1	GRIN2B	0	0	0	0	0	0	0	0	0	0	0.947
NRG1	KRAS	0	0	0	0	0	0	0	0	0	0	0.944
