#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ADORA2A	GNAS	0	0	0	0	0	0	0	0	0	0	0.939
ADORA2A	NT5E	0	0	0	0	0	0	0	0	0	0	0.927
ADORA2A	GNAL	0	0	0	0	0	0	0	0	0	0	0.901
ADORA2A	ADORA1	0	0	0	0	0	0	0	0	0	0	0.899
ADORA2A	ADA	0	0	0	0	0	0	0	0	0	0	0.898
ADORA2A	DRD2	0	0	0	0	0	0	0	0	0	0	0.865
ADORA2A	ADORA2B	0	0	0	0	0	0	0	0	0	0	0.864
ADORA2A	CNR1	0	0	0	0	0	0	0	0	0	0	0.843
ADORA2A	ENTPD1	0	0	0	0	0	0	0	0	0	0	0.807
ADORA2A	ENSP00000480012	0	0	0	0	0	0	0	0	0	0	0.802
