#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
NLGN1	NRXN1	0	0	0	0	0	0	0	0	0	0	0.999
NLGN1	DLG4	0	0	0	0	0	0	0	0	0	0	0.998
NLGN1	NRXN2	0	0	0	0	0	0	0	0	0	0	0.998
NLGN1	NRXN3	0	0	0	0	0	0	0	0	0	0	0.991
NLGN1	THBS1	0	0	0	0	0	0	0	0	0	0	0.973
NLGN1	NXN	0	0	0	0	0	0	0	0	0	0	0.886
NLGN1	SHANK2	0	0	0	0	0	0	0	0	0	0	0.844
NLGN1	DLG3	0	0	0	0	0	0	0	0	0	0	0.843
NLGN1	SHANK1	0	0	0	0	0	0	0	0	0	0	0.826
NLGN1	GRIN1	0	0	0	0	0	0	0	0	0	0	0.824
