#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
FOS	EGR1	0	0	0	0	0	0	0	0	0	0	0.999
FOS	JUNB	0	0	0	0	0	0	0	0	0	0	0.999
FOS	JUN	0	0	0	0	0	0	0	0	0	0	0.999
FOS	JUND	0	0	0	0	0	0	0	0	0	0	0.999
FOS	NFATC2	0	0	0	0	0	0	0	0	0	0	0.999
FOS	EP300	0	0	0	0	0	0	0	0	0	0	0.998
FOS	STAT3	0	0	0	0	0	0	0	0	0	0	0.998
FOS	ESR1	0	0	0	0	0	0	0	0	0	0	0.998
FOS	MAF	0	0	0	0	0	0	0	0	0	0	0.996
FOS	NFATC1	0	0	0	0	0	0	0	0	0	0	0.993
