#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
CACNA1C	CACNG1	9606.ENSP00000266376	9606.ENSP00000226021	0	0	0	0	0.128	0.742	0.720	0.306	0.950
CACNA1C	STAC3	9606.ENSP00000266376	9606.ENSP00000329200	0	0	0	0	0.062	0	0.720	0.485	0.853
CACNA1C	RYR1	9606.ENSP00000266376	9606.ENSP00000352608	0	0	0	0	0.140	0.091	0.720	0.780	0.945
CACNA1C	CACNA1F	9606.ENSP00000266376	9606.ENSP00000365441	0	0	0.060	0.960	0	0	0.900	0.788	0.978
CACNA1C	CACNA1D	9606.ENSP00000266376	9606.ENSP00000288139	0	0	0.057	0.966	0	0.522	0.900	0.640	0.981
CACNA1C	CACNA1S	9606.ENSP00000266376	9606.ENSP00000355192	0	0	0.058	0.964	0.043	0	0.900	0.825	0.982
CACNA1C	CACNB1	9606.ENSP00000266376	9606.ENSP00000377840	0	0	0	0	0.087	0.817	0.540	0.865	0.988
CACNA1C	CACNA2D1	9606.ENSP00000266376	9606.ENSP00000349320	0	0	0	0	0.128	0.512	0.900	0.966	0.998
CACNA1C	CACNB2	9606.ENSP00000266376	9606.ENSP00000320025	0	0	0	0	0.162	0.887	0.720	0.986	0.999
CACNA1C	CALM3	9606.ENSP00000266376	9606.ENSP00000291295	0	0	0	0	0	0.989	0.900	0.994	0.999
CACNA1D	CACNG1	9606.ENSP00000288139	9606.ENSP00000226021	0	0	0	0	0.128	0.742	0.720	0.935	0.995
CACNA1D	STAC3	9606.ENSP00000288139	9606.ENSP00000329200	0	0	0	0	0.062	0	0.720	0.335	0.810
CACNA1D	RYR1	9606.ENSP00000288139	9606.ENSP00000352608	0	0	0	0	0.140	0.091	0.720	0.457	0.865
CACNA1D	CACNA1S	9606.ENSP00000288139	9606.ENSP00000355192	0	0	0.058	0.964	0	0	0.900	0.758	0.975
CACNA1D	CACNA1F	9606.ENSP00000288139	9606.ENSP00000365441	0	0	0.057	0.967	0	0	0.900	0.812	0.980
CACNA1D	CACNB1	9606.ENSP00000288139	9606.ENSP00000377840	0	0	0	0	0.067	0.753	0.540	0.924	0.990
CACNA1D	CALM3	9606.ENSP00000288139	9606.ENSP00000291295	0	0	0	0	0	0.423	0.900	0.851	0.990
CACNA1D	CACNB2	9606.ENSP00000288139	9606.ENSP00000320025	0	0	0	0	0.093	0.811	0.800	0.939	0.997
CACNA1D	CACNA2D1	9606.ENSP00000288139	9606.ENSP00000349320	0	0	0	0	0.086	0.949	0.900	0.939	0.999
CACNA1F	CACNG1	9606.ENSP00000365441	9606.ENSP00000226021	0	0	0	0	0.125	0.596	0.720	0.395	0.932
CACNA1F	CALM3	9606.ENSP00000365441	9606.ENSP00000291295	0	0	0	0	0	0.399	0	0.835	0.897
CACNA1F	CACNB2	9606.ENSP00000365441	9606.ENSP00000320025	0	0	0	0	0.072	0.412	0.720	0.848	0.973
CACNA1F	STAC3	9606.ENSP00000365441	9606.ENSP00000329200	0	0	0	0	0.060	0	0.720	0.317	0.804
CACNA1F	CACNA2D1	9606.ENSP00000365441	9606.ENSP00000349320	0	0	0	0	0.080	0.439	0.900	0.793	0.987
CACNA1F	RYR1	9606.ENSP00000365441	9606.ENSP00000352608	0	0	0	0	0.110	0.085	0.720	0.314	0.822
CACNA1F	CACNA1S	9606.ENSP00000365441	9606.ENSP00000355192	0	0	0.062	0.956	0	0	0.900	0.883	0.988
CACNA1F	CACNB1	9606.ENSP00000365441	9606.ENSP00000377840	0	0	0	0	0.080	0.412	0.540	0.598	0.886
