#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
DLG1	GRIA1	0	0	0	0	0	0	0	0	0	0	0.999
DLG1	AKAP5	0	0	0	0	0	0	0	0	0	0	0.998
DLG1	PTEN	0	0	0	0	0	0	0	0	0	0	0.998
DLG1	GRIN2A	0	0	0	0	0	0	0	0	0	0	0.996
DLG1	ADAM10	0	0	0	0	0	0	0	0	0	0	0.993
DLG1	DLGAP1	0	0	0	0	0	0	0	0	0	0	0.992
DLG1	APC	0	0	0	0	0	0	0	0	0	0	0.991
DLG1	KIF13B	0	0	0	0	0	0	0	0	0	0	0.99
DLG1	EPB41	0	0	0	0	0	0	0	0	0	0	0.989
DLG1	SCN5A	0	0	0	0	0	0	0	0	0	0	0.988
DLG2	GRIN2B	0	0	0	0	0	0	0	0	0	0	0.988
DLG2	GRIA1	0	0	0	0	0	0	0	0	0	0	0.974
DLG2	GRIA2	0	0	0	0	0	0	0	0	0	0	0.973
DLG2	GRIN2A	0	0	0	0	0	0	0	0	0	0	0.967
DLG2	GRIA4	0	0	0	0	0	0	0	0	0	0	0.961
DLG2	DLGAP1	0	0	0	0	0	0	0	0	0	0	0.959
DLG2	GRIA3	0	0	0	0	0	0	0	0	0	0	0.951
DLG2	SRC	0	0	0	0	0	0	0	0	0	0	0.946
DLG2	TJAP1	0	0	0	0	0	0	0	0	0	0	0.945
DLG2	KRAS	0	0	0	0	0	0	0	0	0	0	0.937
DLG3	GRIN2B	0	0	0	0	0	0	0	0	0	0	0.998
DLG3	GRIN2A	0	0	0	0	0	0	0	0	0	0	0.995
DLG3	NBEA	0	0	0	0	0	0	0	0	0	0	0.991
DLG3	GRIA1	0	0	0	0	0	0	0	0	0	0	0.976
DLG3	GRIA2	0	0	0	0	0	0	0	0	0	0	0.961
DLG3	GRIA4	0	0	0	0	0	0	0	0	0	0	0.953
DLG3	SRC	0	0	0	0	0	0	0	0	0	0	0.949
DLG3	GRIA3	0	0	0	0	0	0	0	0	0	0	0.946
DLG3	GRIN1	0	0	0	0	0	0	0	0	0	0	0.945
DLG3	HRAS	0	0	0	0	0	0	0	0	0	0	0.941
DLG4	SRC	0	0	0	0	0	0	0	0	0	0	0.999
DLG4	GRIN1	0	0	0	0	0	0	0	0	0	0	0.999
