#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
NXPH1	NRXN1	0	0	0	0	0	0	0	0	0	0	0.988
NXPH1	NRXN2	0	0	0	0	0	0	0	0	0	0	0.984
NXPH1	NRXN3	0	0	0	0	0	0	0	0	0	0	0.849
NXPH1	SP6	0	0	0	0	0	0	0	0	0	0	0.623
NXPH1	TTC13	0	0	0	0	0	0	0	0	0	0	0.623
NXPH1	PLEKHA2	0	0	0	0	0	0	0	0	0	0	0.601
NXPH1	ASTN1	0	0	0	0	0	0	0	0	0	0	0.597
NXPH1	LRRTM1	0	0	0	0	0	0	0	0	0	0	0.575
NXPH1	NXPE4	0	0	0	0	0	0	0	0	0	0	0.565
NXPH1	IQCJ	0	0	0	0	0	0	0	0	0	0	0.539
