#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
LCP2	VAV1	0	0	0	0	0	0	0	0	0	0	0.999
LCP2	NCK1	0	0	0	0	0	0	0	0	0	0	0.999
LCP2	CBL	0	0	0	0	0	0	0	0	0	0	0.999
LCP2	LAT	0	0	0	0	0	0	0	0	0	0	0.999
LCP2	ITK	0	0	0	0	0	0	0	0	0	0	0.999
LCP2	FYB	0	0	0	0	0	0	0	0	0	0	0.999
LCP2	GRAP2	0	0	0	0	0	0	0	0	0	0	0.999
LCP2	GRB2	0	0	0	0	0	0	0	0	0	0	0.999
LCP2	ZAP70	0	0	0	0	0	0	0	0	0	0	0.999
LCP2	WAS	0	0	0	0	0	0	0	0	0	0	0.998
