#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACTA1	GSN	0	0	0	0	0	0	0	0	0	0	0.998
ACTA1	CFL1	0	0	0	0	0	0	0	0	0	0	0.997
ACTA1	VCL	0	0	0	0	0	0	0	0	0	0	0.993
ACTA1	VASP	0	0	0	0	0	0	0	0	0	0	0.991
ACTA1	UTRN	0	0	0	0	0	0	0	0	0	0	0.989
ACTA1	MKL1	0	0	0	0	0	0	0	0	0	0	0.985
ACTA1	CTNNA1	0	0	0	0	0	0	0	0	0	0	0.984
ACTA1	DMD	0	0	0	0	0	0	0	0	0	0	0.971
ACTA1	MYL1	0	0	0	0	0	0	0	0	0	0	0.969
ACTA1	ACTN2	0	0	0	0	0	0	0	0	0	0	0.968
