#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
CRK	BCAR1	0	0	0	0	0	0	0	0	0	0	0.999
CRK	CBL	0	0	0	0	0	0	0	0	0	0	0.999
CRK	SRC	0	0	0	0	0	0	0	0	0	0	0.999
CRK	RAPGEF1	0	0	0	0	0	0	0	0	0	0	0.999
CRK	PXN	0	0	0	0	0	0	0	0	0	0	0.999
CRK	DOCK1	0	0	0	0	0	0	0	0	0	0	0.999
CRK	NEDD9	0	0	0	0	0	0	0	0	0	0	0.998
CRK	PTK2	0	0	0	0	0	0	0	0	0	0	0.998
CRK	ABL1	0	0	0	0	0	0	0	0	0	0	0.997
CRK	EGFR	0	0	0	0	0	0	0	0	0	0	0.996
