#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
EPB41	GYPC	0	0	0	0	0	0	0	0	0	0	0.994
EPB41	CASK	0	0	0	0	0	0	0	0	0	0	0.991
EPB41	DLG1	0	0	0	0	0	0	0	0	0	0	0.989
EPB41	TRPC4	0	0	0	0	0	0	0	0	0	0	0.967
EPB41	SDC2	0	0	0	0	0	0	0	0	0	0	0.966
EPB41	NUMA1	0	0	0	0	0	0	0	0	0	0	0.953
EPB41	CNTNAP2	0	0	0	0	0	0	0	0	0	0	0.938
EPB41	NRXN3	0	0	0	0	0	0	0	0	0	0	0.931
EPB41	CD44	0	0	0	0	0	0	0	0	0	0	0.905
EPB41	SLC4A1	0	0	0	0	0	0	0	0	0	0	0.897
