#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
INSR	IGF1	0	0	0	0	0	0	0	0	0	0	0.999
INSR	PTPN1	0	0	0	0	0	0	0	0	0	0	0.999
INSR	IRS1	0	0	0	0	0	0	0	0	0	0	0.999
INSR	INS	0	0	0	0	0	0	0	0	0	0	0.999
INSR	GRB14	0	0	0	0	0	0	0	0	0	0	0.998
INSR	SH2B2	0	0	0	0	0	0	0	0	0	0	0.997
INSR	SHC1	0	0	0	0	0	0	0	0	0	0	0.995
INSR	PIK3R1	0	0	0	0	0	0	0	0	0	0	0.995
INSR	GRB10	0	0	0	0	0	0	0	0	0	0	0.993
INSR	PTPN11	0	0	0	0	0	0	0	0	0	0	0.988
