#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
GRB2	PIK3R1	0	0	0	0	0	0	0	0	0	0	0.999
GRB2	PTK2	0	0	0	0	0	0	0	0	0	0	0.999
GRB2	IRS2	0	0	0	0	0	0	0	0	0	0	0.999
GRB2	ERBB4	0	0	0	0	0	0	0	0	0	0	0.999
GRB2	FGFR2	0	0	0	0	0	0	0	0	0	0	0.999
GRB2	JAK2	0	0	0	0	0	0	0	0	0	0	0.999
GRB2	EGFR	0	0	0	0	0	0	0	0	0	0	0.999
GRB2	FRS2	0	0	0	0	0	0	0	0	0	0	0.999
GRB2	GAB2	0	0	0	0	0	0	0	0	0	0	0.999
GRB2	PTPN1	0	0	0	0	0	0	0	0	0	0	0.999
