#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ADORA2A	GNAQ	9606.ENSP00000480012	9606.ENSP00000286548	0	0	0	0	0	0.115	0.900	0.578	0.959
ADORA2A	GRM5	9606.ENSP00000480012	9606.ENSP00000306138	0	0	0	0	0	0.300	0	0.968	0.976
CAMK2A	GRM1	9606.ENSP00000500386	9606.ENSP00000282753	0	0	0	0	0.217	0.091	0.900	0.608	0.968
CAMK2A	SHANK1	9606.ENSP00000500386	9606.ENSP00000293441	0	0	0	0	0.144	0.094	0	0.447	0.533
CAMK2A	GRM5	9606.ENSP00000500386	9606.ENSP00000306138	0	0	0	0	0.270	0.091	0.900	0.677	0.975
CAMK2A	CHRM1	9606.ENSP00000500386	9606.ENSP00000306490	0	0	0	0	0.240	0.091	0	0.202	0.400
CAMK2A	HOMER1	9606.ENSP00000500386	9606.ENSP00000334382	0	0	0	0	0.090	0.069	0	0.713	0.735
CHRM1	GRM1	9606.ENSP00000306490	9606.ENSP00000282753	0	0	0	0	0.156	0	0	0.349	0.427
CHRM1	GNAQ	9606.ENSP00000306490	9606.ENSP00000286548	0	0	0	0	0	0	0.900	0.647	0.963
CHRM1	GRM5	9606.ENSP00000306490	9606.ENSP00000306138	0	0	0	0	0.255	0	0.900	0.389	0.950
CHRM1	CHRM5	9606.ENSP00000306490	9606.ENSP00000372750	0	0	0.053	0.947	0.042	0	0.900	0.080	0.905
CHRM5	GNAQ	9606.ENSP00000372750	9606.ENSP00000286548	0	0	0	0	0	0	0.900	0.145	0.910
CHRM5	GRM5	9606.ENSP00000372750	9606.ENSP00000306138	0	0	0	0	0.070	0	0.900	0.470	0.946
GNAQ	GRM1	9606.ENSP00000286548	9606.ENSP00000282753	0	0	0	0	0.042	0	0.900	0.985	0.998
GNAQ	GRM5	9606.ENSP00000286548	9606.ENSP00000306138	0	0	0	0	0	0	0.900	0.992	0.999
GRM1	SHANK1	9606.ENSP00000282753	9606.ENSP00000293441	0	0	0	0	0.150	0.131	0.500	0.760	0.899
GRM1	GRM5	9606.ENSP00000282753	9606.ENSP00000306138	0	0	0.053	0.960	0.220	0	0.900	0.728	0.977
GRM1	HOMER2	9606.ENSP00000282753	9606.ENSP00000305632	0	0	0	0	0	0.096	0.900	0.893	0.989
GRM1	HOMER1	9606.ENSP00000282753	9606.ENSP00000334382	0	0	0	0	0	0.370	0.900	0.971	0.998
GRM5	SHANK1	9606.ENSP00000306138	9606.ENSP00000293441	0	0	0	0	0.163	0.131	0.500	0.853	0.939
GRM5	HOMER2	9606.ENSP00000306138	9606.ENSP00000305632	0	0	0	0	0	0.096	0.500	0.930	0.965
GRM5	PRNP	9606.ENSP00000306138	9606.ENSP00000399376	0	0	0	0	0	0.349	0	0.932	0.953
GRM5	HOMER1	9606.ENSP00000306138	9606.ENSP00000334382	0	0	0	0	0.058	0.370	0.500	0.999	0.999
HOMER1	SHANK1	9606.ENSP00000334382	9606.ENSP00000293441	0	0	0	0	0	0.419	0.500	0.950	0.984
HOMER1	HOMER2	9606.ENSP00000334382	9606.ENSP00000305632	0	0	0.065	0.939	0.055	0.837	0.900	0.508	0.991
HOMER1	PRNP	9606.ENSP00000334382	9606.ENSP00000399376	0	0	0	0	0.045	0.079	0	0.499	0.521
HOMER2	SHANK1	9606.ENSP00000305632	9606.ENSP00000293441	0	0	0	0	0	0.191	0.500	0.835	0.927
