#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AKT1	MTOR	0	0	0	0	0	0	0	0	0	0	0.999
AKT1	HSP90AA1	0	0	0	0	0	0	0	0	0	0	0.999
AKT1	FOXO3	0	0	0	0	0	0	0	0	0	0	0.999
AKT1	NOS3	0	0	0	0	0	0	0	0	0	0	0.999
AKT1	PHLPP1	0	0	0	0	0	0	0	0	0	0	0.999
AKT1	APPL1	0	0	0	0	0	0	0	0	0	0	0.999
AKT1	MDM2	0	0	0	0	0	0	0	0	0	0	0.998
AKT1	RICTOR	0	0	0	0	0	0	0	0	0	0	0.998
AKT1	EP300	0	0	0	0	0	0	0	0	0	0	0.998
AKT1	PRKDC	0	0	0	0	0	0	0	0	0	0	0.998
