#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
LLGL2	PRKCI	0	0	0	0	0	0	0	0	0	0	0.998
LLGL2	PARD6B	0	0	0	0	0	0	0	0	0	0	0.983
LLGL2	PARD6A	0	0	0	0	0	0	0	0	0	0	0.981
LLGL2	PRKCZ	0	0	0	0	0	0	0	0	0	0	0.978
LLGL2	SCRIB	0	0	0	0	0	0	0	0	0	0	0.975
LLGL2	DLG4	0	0	0	0	0	0	0	0	0	0	0.97
LLGL2	LLGL1	0	0	0	0	0	0	0	0	0	0	0.964
LLGL2	PARD6G	0	0	0	0	0	0	0	0	0	0	0.951
LLGL2	DLG1	0	0	0	0	0	0	0	0	0	0	0.912
LLGL2	DLG3	0	0	0	0	0	0	0	0	0	0	0.888
